,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
23,Iker Almena,es ESP,"FW,DF",Girona,La Liga,20-290,2004,2,0,48,0.5,0,1,1,0,0,0,0,0,0.0,0.0,0.7,0.7,6,2,10,0.00,1.87,1.87,0.00,1.87,0.06,1.27,1.33,0.06,1.33
24,Marcos Alonso,es ESP,DF,Celta Vigo,La Liga,34-052,1990,18,16,"1,530",17.0,0,0,0,0,0,0,8,1,0.7,0.7,0.3,1.0,30,116,33,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06
25,Adrià Altimira,es ESP,"DF,FW",Leganés,La Liga,23-327,2001,14,11,"1,010",11.2,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,14,30,33,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
26,Sergi Altimira,es ESP,MF,Betis,La Liga,23-177,2001,20,14,"1,300",14.4,0,1,1,0,0,0,2,0,1.4,1.3,1.4,2.7,14,69,17,0.00,0.07,0.07,0.00,0.07,0.10,0.10,0.20,0.09,0.19
27,Hugo Álvarez,es ESP,"MF,DF",Celta Vigo,La Liga,21-231,2003,22,14,"1,387",15.4,4,2,6,4,0,0,5,0,2.3,2.3,0.8,3.1,66,48,143,0.26,0.13,0.39,0.26,0.39,0.15,0.05,0.20,0.15,0.20
28,Julián Álvarez,ar ARG,"FW,MF",Atlético Madrid,La Liga,25-018,2000,24,19,"1,596",17.7,7,2,9,6,1,1,4,0,6.9,6.1,2.9,9.0,51,53,105,0.39,0.11,0.51,0.34,0.45,0.39,0.16,0.55,0.35,0.51
29,Yeray Álvarez,es ESP,DF,Athletic Club,La Liga,30-025,1995,14,13,"1,151",12.8,0,0,0,0,0,0,3,0,0.3,0.3,0.2,0.5,14,83,0,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04
30,Selim Amallah,ma MAR,MF,Valladolid,La Liga,28-095,1996,16,12,964,10.7,3,1,4,2,1,1,5,0,2.7,1.9,0.6,2.4,20,34,16,0.28,0.09,0.37,0.19,0.28,0.25,0.05,0.30,0.17,0.23
31,Amath,sn SEN,"FW,DF",Valladolid,La Liga,28-217,1996,9,5,316,3.5,0,1,1,0,0,0,1,0,0.4,0.4,0.2,0.6,7,11,21,0.00,0.28,0.28,0.00,0.28,0.10,0.06,0.16,0.10,0.16
32,Marcos André,br BRA,FW,Valladolid,La Liga,28-121,1996,16,11,944,10.5,1,1,2,1,0,0,5,0,2.0,2.0,0.6,2.6,10,10,30,0.10,0.10,0.19,0.10,0.19,0.19,0.06,0.25,0.19,0.25
33,Leandro Antonetti,pr PUR,FW,Sevilla,La Liga,22-036,2003,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.22,0.00,0.22
34,Antoniu,es ESP,MF,Espanyol,La Liga,22-166,2002,13,6,467,5.2,0,1,1,0,0,0,3,0,0.6,0.6,1.0,1.6,16,11,33,0.00,0.19,0.19,0.00,0.19,0.11,0.19,0.30,0.11,0.30
35,Antony,br BRA,FW,Betis,La Liga,24-360,2000,3,3,232,2.6,2,1,3,2,0,0,1,0,0.4,0.4,0.3,0.7,7,10,24,0.78,0.39,1.16,0.78,1.16,0.14,0.12,0.26,0.14,0.26
36,Anuar,ma MAR,"FW,MF",Valladolid,La Liga,30-034,1995,15,13,"1,136",12.6,2,0,2,2,0,0,5,0,1.3,1.3,0.5,1.8,13,17,34,0.16,0.00,0.16,0.16,0.16,0.10,0.04,0.14,0.10,0.14
37,Aritz Arambarri,es ESP,DF,Leganés,La Liga,27-018,1998,2,2,177,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
38,Mauro Arambarri,uy URU,MF,Getafe,La Liga,29-141,1995,22,18,"1,537",17.1,6,0,6,3,3,3,7,0,4.9,2.5,0.3,2.8,8,43,20,0.35,0.00,0.35,0.18,0.18,0.29,0.02,0.30,0.15,0.16
39,Jon Aramburu,ve VEN,DF,Real Sociedad,La Liga,22-210,2002,21,19,"1,615",17.9,0,0,0,0,0,0,7,0,0.3,0.3,0.8,1.1,17,69,33,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.02,0.06
40,Ronald Araújo,uy URU,DF,Barcelona,La Liga,25-348,1999,3,3,156,1.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,11,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
41,Adu Ares,es ESP,FW,Athletic Club,La Liga,23-129,2001,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
42,Jesús Areso,es ESP,DF,Osasuna,La Liga,25-231,1999,23,22,"1,949",21.7,0,1,1,0,0,0,5,0,0.1,0.1,1.7,1.8,68,74,134,0.00,0.05,0.05,0.00,0.05,0.01,0.08,0.08,0.01,0.08
