,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
23,Mohamed Ali Cho,fr FRA,"FW,MF",Nice,Ligue 1,21-033,2004,18,16,"1,207",13.4,3,3,6,3,0,0,2,0,2.5,2.5,2.8,5.3,51,43,99,0.22,0.22,0.45,0.22,0.45,0.19,0.21,0.40,0.19,0.40
24,Jim Allevinah,ga GAB,FW,Angers,Ligue 1,29-360,1995,18,17,"1,180",13.1,0,3,3,0,0,0,3,0,2.0,2.0,2.2,4.3,27,37,63,0.00,0.23,0.23,0.00,0.23,0.16,0.17,0.33,0.16,0.33
25,Thiago Almada,ar ARG,"MF,FW",Lyon,Ligue 1,23-301,2001,4,0,70,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,6,11,1,0.00,0.00,0.00,0.00,0.00,0.09,0.10,0.19,0.09,0.19
26,Jordan Amavi,fr FRA,DF,Brest,Ligue 1,30-349,1994,11,8,790,8.8,0,0,0,0,0,0,2,0,0.3,0.3,0.2,0.4,22,36,21,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05
27,Kelvin Amian,fr FRA,DF,Nantes,Ligue 1,27-013,1998,19,14,"1,349",15.0,1,0,1,1,0,0,2,0,0.2,0.2,0.4,0.7,24,43,53,0.07,0.00,0.07,0.07,0.07,0.02,0.03,0.04,0.02,0.04
28,Michael Amir Murillo,pa PAN,DF,Marseille,Ligue 1,29-010,1996,21,18,"1,694",18.8,1,2,3,1,0,0,1,0,1.5,1.5,2.5,3.9,25,96,67,0.05,0.11,0.16,0.05,0.16,0.08,0.13,0.21,0.08,0.21
29,Mathis Amougou,fr FRA,MF,Saint-Étienne,Ligue 1,19-034,2006,17,9,859,9.5,0,0,0,0,0,0,2,0,0.5,0.5,0.4,0.8,8,36,17,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.09,0.05,0.09
30,Benjamin André,fr FRA,MF,Lille,Ligue 1,34-202,1990,19,19,"1,702",18.9,0,1,1,0,0,0,9,0,1.2,1.2,1.1,2.3,18,142,44,0.00,0.05,0.05,0.00,0.05,0.06,0.06,0.12,0.06,0.12
31,Dennis Appiah,fr FRA,DF,Saint-Étienne,Ligue 1,32-257,1992,20,16,"1,558",17.3,0,1,1,0,0,0,1,0,0.1,0.1,1.9,2.0,36,64,73,0.00,0.06,0.06,0.00,0.06,0.01,0.11,0.12,0.01,0.12
32,Carlens Arcus,ht HAI,DF,Angers,Ligue 1,28-238,1996,19,18,"1,454",16.2,0,1,1,0,0,0,2,0,0.0,0.0,1.2,1.2,27,44,52,0.00,0.06,0.06,0.00,0.06,0.00,0.07,0.07,0.00,0.07
33,Hákon Arnar Haraldsson,is ISL,"MF,FW",Lille,Ligue 1,21-317,2003,14,11,941,10.5,2,2,4,2,0,0,2,0,1.9,1.9,1.2,3.1,27,56,80,0.19,0.19,0.38,0.19,0.38,0.18,0.12,0.30,0.18,0.30
34,Marco Asensio,es ESP,"FW,MF",Paris S-G,Ligue 1,29-031,1996,12,8,618,6.9,2,4,6,2,0,0,0,0,5.6,5.6,2.7,8.3,19,36,49,0.29,0.58,0.87,0.29,0.87,0.82,0.39,1.21,0.82,1.21
35,Lorenz Assignon,tg TOG,"DF,MF",Rennes,Ligue 1,24-244,2000,20,16,"1,388",15.4,1,3,4,1,0,0,6,0,0.4,0.4,2.4,2.8,61,68,115,0.06,0.19,0.26,0.06,0.26,0.03,0.16,0.18,0.03,0.18
36,Dehmaine Assoumani,fr FRA,"MF,FW",Nantes,Ligue 1,19-310,2005,9,0,81,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.9,1.0,4,1,14,0.00,0.00,0.00,0.00,0.00,0.10,0.96,1.06,0.10,1.06
37,Valentin Atangana Edoa,fr FRA,MF,Reims,Ligue 1,19-180,2005,22,22,"1,823",20.3,0,0,0,0,0,0,6,0,0.8,0.8,0.4,1.2,28,69,22,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06
38,Florian Ayé,fr FRA,FW,Auxerre,Ligue 1,28-033,1997,17,4,403,4.5,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,3,4,22,0.00,0.00,0.00,0.00,0.00,0.09,0.01,0.11,0.09,0.11
39,André Ayew,gh GHA,FW,Le Havre,Ligue 1,35-066,1989,15,9,874,9.7,3,0,3,3,0,0,2,0,2.8,2.8,0.0,2.8,3,12,20,0.31,0.00,0.31,0.31,0.31,0.29,0.00,0.29,0.29,0.29
40,Neil El Aynaoui,fr FRA,MF,Lens,Ligue 1,23-234,2001,13,6,658,7.3,1,0,1,1,0,0,2,0,0.6,0.6,0.9,1.5,7,38,14,0.14,0.00,0.14,0.14,0.14,0.08,0.12,0.21,0.08,0.21
