,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
335,Mykhailo Mudryk,ua UKR,FW,Chelsea,Premier League,24-038,2001,7,1,151,1.7,0,0,0,0,0,0,0,0,0.3,0.3,1.0,1.2,7,5,12,0.00,0.00,0.00,0.00,0.00,0.15,0.58,0.73,0.15,0.73
336,Rodrigo Muniz,br BRA,FW,Fulham,Premier League,23-284,2001,23,5,672,7.5,4,1,5,4,0,0,1,0,3.7,3.7,0.6,4.3,4,18,25,0.54,0.13,0.67,0.54,0.67,0.50,0.08,0.58,0.50,0.58
337,Daniel Muñoz,co COL,DF,Crystal Palace,Premier League,28-262,1996,23,23,"1,983",22.0,2,3,5,2,0,0,5,0,3.5,3.5,3.6,7.1,30,56,135,0.09,0.14,0.23,0.09,0.23,0.16,0.16,0.32,0.16,0.32
338,Arijanet Muric,xk KVX,GK,Ipswich Town,Premier League,26-097,1998,18,18,"1,620",18.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
339,Murillo,br BRA,DF,Nott'ham Forest,Premier League,22-223,2002,23,23,"2,028",22.5,1,0,1,1,0,0,5,0,1.1,1.1,1.1,2.1,12,68,4,0.04,0.00,0.04,0.04,0.04,0.05,0.05,0.09,0.05,0.09
340,Jacob Murphy,eng ENG,FW,Newcastle Utd,Premier League,29-354,1995,21,17,"1,341",14.9,4,7,11,4,0,0,2,0,2.6,2.6,6.3,8.9,47,53,128,0.27,0.47,0.74,0.27,0.74,0.18,0.42,0.60,0.18,0.60
341,Vitaliy Mykolenko,ua UKR,DF,Everton,Premier League,25-259,1999,21,21,"1,822",20.2,0,0,0,0,0,0,2,0,0.4,0.4,1.2,1.6,22,71,51,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.08,0.02,0.08
342,Iliman Ndiaye,sn SEN,FW,Everton,Premier League,24-343,2000,23,21,"1,853",20.6,6,0,6,5,1,1,3,0,3.6,2.8,1.5,4.3,71,38,95,0.29,0.00,0.29,0.24,0.24,0.17,0.07,0.25,0.14,0.21
343,Wilfred Ndidi,ng NGA,MF,Leicester City,Premier League,28-058,1996,15,15,"1,215",13.5,0,4,4,0,0,0,4,0,1.4,1.4,1.4,2.8,9,37,49,0.00,0.30,0.30,0.00,0.30,0.10,0.10,0.20,0.10,0.20
344,Kosta Nedeljković,rs SRB,DF,Aston Villa,Premier League,19-058,2005,5,0,126,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
